"","User ID","Age","Gender","Income","Region","Persona","Product","Awareness","BP_For_Me_0_10","BP_Fits_Budget_0_10","BP_Tastes_Great_0_10","BP_Good_To_Share_0_10","BP_Like_Logo_0_10","BP_Special_Occasions_0_10","BP_Everyday_Snack_0_10","BP_Healthy_0_10","BP_Delicious_0_10","BP_Right_Amount_0_10","BP_Relaxing_0_10","Consideration","Consumption","Satisfaction","Advocacy"
"25","id_25",33,"Male",16000,"Northeast","Savvy Samantha","Cookie_Crumble",1,3,4,2,2,2,0,5,1,1,2,4,1,0,NA,NA
"26","id_26",43,"Female",91000,"South","Millenial Muncher","Cookie_Crumble",1,1,6,1,0,3,0,7,0,5,2,2,0,NA,NA,NA
"27","id_27",25,"Female",145000,"South","Righteous Reviewer","Cookie_Crumble",1,0,5,1,0,0,0,2,1,3,0,4,0,NA,NA,NA
"28","id_28",64,"Male",75000,"Northeast","Easygoing Edith","Cookie_Crumble",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","id_29",44,"Male",43000,"West","Savvy Samantha","Cookie_Crumble",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","id_30",35,"Female",33000,"West","Righteous Reviewer","Cookie_Crumble",1,1,0,1,0,0,4,6,0,1,6,1,1,1,5.50516282602597,1
"31","id_31",87,"Female",23000,"Northeast","Millenial Muncher","Cookie_Crumble",1,2,2,2,4,2,4,2,1,3,2,7,1,0,NA,NA
"32","id_32",35,"Female",126000,"Midwest","Easygoing Edith","Cookie_Crumble",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","id_33",58,"Male",36000,"Midwest","Old School Oliver","Cookie_Crumble",1,6,2,2,0,2,2,2,1,2,5,2,0,NA,NA,NA
"34","id_34",21,"Male",91000,"Northeast","Savvy Samantha","Cookie_Crumble",1,3,6,5,0,2,2,5,3,8,0,2,1,1,4.17147741402637,1
"35","id_35",78,"Male",55000,"Midwest","Righteous Reviewer","Cookie_Crumble",1,4,1,0,0,3,4,8,0,7,3,2,1,1,6.11986284956926,0
"36","id_36",32,"Female",144000,"Northeast","Righteous Reviewer","Cookie_Crumble",1,3,3,1,0,5,3,3,0,3,4,4,1,1,4.96185772474212,0
"37","id_37",74,"Male",70000,"Northeast","Savvy Samantha","Cookie_Crumble",1,5,1,2,4,1,2,3,0,4,0,2,1,1,6.05008177920322,1
"38","id_38",68,"Male",18000,"Midwest","Mainstream Maynard","Cookie_Crumble",1,5,4,0,0,4,7,5,0,4,3,4,0,NA,NA,NA
"39","id_39",51,"Male",98000,"South","Savvy Samantha","Cookie_Crumble",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","id_40",67,"Female",23000,"West","Easygoing Edith","Cookie_Crumble",1,4,7,0,2,4,2,3,1,4,2,2,1,1,5.84779776201232,1
"41","id_41",64,"Female",97000,"Northeast","Righteous Reviewer","Cookie_Crumble",1,4,10,0,1,2,0,2,4,0,1,2,1,0,NA,NA
"42","id_42",51,"Male",29000,"South","Righteous Reviewer","Cookie_Crumble",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","id_43",59,"Female",51000,"West","Savvy Samantha","Cookie_Crumble",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","id_44",29,"Female",74000,"Northeast","Easygoing Edith","Cookie_Crumble",1,4,1,0,6,4,0,4,0,4,0,2,1,1,4.34789122630031,1
"45","id_45",67,"Male",109000,"South","Mainstream Maynard","Cookie_Crumble",1,2,7,0,1,0,2,5,0,3,0,5,1,0,NA,NA
"46","id_46",63,"Male",47000,"South","Easygoing Edith","Cookie_Crumble",1,3,2,2,4,0,3,6,3,0,0,2,0,NA,NA,NA
"47","id_47",19,"Female",54000,"Northeast","Mainstream Maynard","Cookie_Crumble",1,0,3,0,0,3,4,8,0,2,5,5,0,NA,NA,NA
"48","id_48",79,"Male",104000,"South","Easygoing Edith","Cookie_Crumble",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","id_49",60,"Male",119000,"Northeast","Savvy Samantha","Cookie_Crumble",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","id_50",92,"Female",16000,"West","Millenial Muncher","Cookie_Crumble",1,4,3,0,0,2,6,5,0,6,4,4,1,0,NA,NA
"51","id_51",36,"Male",75000,"Midwest","Righteous Reviewer","Cookie_Crumble",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","id_52",22,"Female",135000,"West","Mainstream Maynard","Cookie_Crumble",1,4,3,3,3,5,1,4,4,5,2,5,1,1,3.78460929013201,0
"53","id_53",78,"Female",104000,"South","Savvy Samantha","Cookie_Crumble",1,4,2,0,2,2,1,1,0,5,3,2,0,NA,NA,NA
"54","id_54",19,"Female",137000,"West","Savvy Samantha","Cookie_Crumble",1,5,2,0,0,2,2,4,0,5,5,6,1,0,NA,NA
"55","id_55",64,"Male",38000,"Northeast","Easygoing Edith","Cookie_Crumble",1,1,1,4,2,6,3,5,2,3,4,6,0,NA,NA,NA
"56","id_56",24,"Male",63000,"Midwest","Mainstream Maynard","Cookie_Crumble",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","id_57",56,"Female",140000,"Northeast","Easygoing Edith","Cookie_Crumble",1,9,3,0,3,7,2,2,1,4,0,3,1,1,4.70232797570291,1
"58","id_58",50,"Female",99000,"Northeast","Millenial Muncher","Cookie_Crumble",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","id_59",84,"Male",14000,"Midwest","Mainstream Maynard","Cookie_Crumble",1,6,4,2,0,4,1,5,0,5,1,2,0,NA,NA,NA
"60","id_60",60,"Male",86000,"Midwest","Mainstream Maynard","Cookie_Crumble",1,3,4,4,0,0,4,2,2,4,0,3,0,NA,NA,NA
"61","id_61",69,"Female",114000,"South","Savvy Samantha","Cookie_Crumble",1,4,5,2,2,0,0,5,0,3,2,6,0,NA,NA,NA
"62","id_62",67,"Male",113000,"South","Easygoing Edith","Cookie_Crumble",1,5,6,0,3,3,2,2,3,7,2,0,1,0,NA,NA
"63","id_63",32,"Female",143000,"South","Mainstream Maynard","Cookie_Crumble",1,5,0,5,1,1,0,5,2,5,3,5,0,NA,NA,NA
"64","id_64",66,"Male",48000,"Northeast","Savvy Samantha","Cookie_Crumble",1,0,1,2,0,0,5,5,0,5,1,3,1,0,NA,NA
"65","id_65",23,"Female",16000,"Northeast","Millenial Muncher","Cookie_Crumble",1,3,2,1,1,5,0,6,2,6,3,4,1,1,4.96907731975846,1
"66","id_66",34,"Male",86000,"South","Easygoing Edith","Cookie_Crumble",1,3,5,1,1,2,4,1,4,2,2,3,0,NA,NA,NA
"67","id_67",24,"Male",109000,"West","Old School Oliver","Cookie_Crumble",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","id_68",39,"Male",131000,"Northeast","Old School Oliver","Cookie_Crumble",1,3,3,0,0,3,0,5,4,6,3,5,0,NA,NA,NA
"69","id_69",67,"Male",141000,"West","Millenial Muncher","Cookie_Crumble",1,1,3,5,0,3,1,3,0,5,1,5,1,1,5.79777611825756,0
"70","id_70",31,"Female",112000,"West","Mainstream Maynard","Cookie_Crumble",1,2,6,0,0,1,2,1,3,0,3,2,0,NA,NA,NA
"71","id_71",88,"Male",112000,"West","Mainstream Maynard","Cookie_Crumble",1,1,2,5,0,4,0,3,0,3,0,5,1,1,6.11112728893725,1
"72","id_72",76,"Male",34000,"West","Mainstream Maynard","Cookie_Crumble",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","id_73",39,"Male",124000,"West","Mainstream Maynard","Cookie_Crumble",1,5,2,2,2,5,2,7,0,3,1,2,1,0,NA,NA
"74","id_74",49,"Male",123000,"Midwest","Mainstream Maynard","Cookie_Crumble",1,4,3,2,2,5,2,0,1,3,0,5,1,0,NA,NA
"75","id_75",43,"Male",130000,"Northeast","Righteous Reviewer","Cookie_Crumble",1,6,4,0,3,0,2,4,0,6,0,3,1,1,4.97953816321938,0
"76","id_76",92,"Male",75000,"West","Millenial Muncher","Cookie_Crumble",1,3,5,0,3,3,0,3,0,4,3,4,1,1,4.99011420658012,0
"77","id_77",67,"Female",83000,"West","Millenial Muncher","Cookie_Crumble",1,5,3,1,2,2,0,2,0,4,1,1,1,1,5.53818867844219,1
"78","id_78",36,"Female",107000,"Northeast","Mainstream Maynard","Cookie_Crumble",1,2,3,7,2,2,4,8,2,2,3,5,0,NA,NA,NA
"79","id_79",83,"Male",135000,"Midwest","Mainstream Maynard","Cookie_Crumble",1,6,5,1,1,4,1,6,0,3,0,1,0,NA,NA,NA
"80","id_80",30,"Female",42000,"Northeast","Old School Oliver","Cookie_Crumble",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","id_81",56,"Male",86000,"South","Mainstream Maynard","Cookie_Crumble",1,5,6,0,2,0,1,1,0,1,1,3,0,NA,NA,NA
"82","id_82",25,"Female",148000,"Northeast","Mainstream Maynard","Cookie_Crumble",1,4,1,0,0,3,0,4,2,1,4,2,0,NA,NA,NA
"83","id_83",83,"Female",141000,"Midwest","Millenial Muncher","Cookie_Crumble",1,7,4,3,3,4,1,4,3,3,3,2,1,1,5.60307991433658,0
"84","id_84",54,"Female",52000,"Midwest","Old School Oliver","Cookie_Crumble",1,6,6,5,0,2,4,4,0,4,5,2,1,1,5.60612200543578,0
"85","id_85",46,"Male",144000,"West","Old School Oliver","Cookie_Crumble",1,1,1,1,0,6,3,4,2,2,4,3,1,0,NA,NA
"86","id_86",24,"Male",47000,"Midwest","Easygoing Edith","Cookie_Crumble",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","id_87",74,"Female",147000,"West","Old School Oliver","Cookie_Crumble",1,5,5,1,0,5,0,7,5,3,0,5,0,NA,NA,NA
"88","id_88",43,"Male",140000,"West","Millenial Muncher","Cookie_Crumble",1,5,6,3,0,0,2,4,0,6,0,5,1,1,3.65244978525608,0
"89","id_89",61,"Female",78000,"Midwest","Mainstream Maynard","Cookie_Crumble",1,5,9,1,2,2,1,6,5,5,0,5,0,NA,NA,NA
"90","id_90",25,"Male",46000,"Midwest","Savvy Samantha","Cookie_Crumble",1,0,7,0,0,3,2,2,2,5,1,4,0,NA,NA,NA
"91","id_91",50,"Male",134000,"Northeast","Old School Oliver","Cookie_Crumble",1,4,6,1,4,0,2,4,1,7,6,2,0,NA,NA,NA
"92","id_92",55,"Male",97000,"Northeast","Millenial Muncher","Cookie_Crumble",1,2,3,3,2,3,0,3,0,1,0,4,0,NA,NA,NA
"93","id_93",50,"Female",15000,"West","Mainstream Maynard","Cookie_Crumble",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","id_94",54,"Female",26000,"Midwest","Easygoing Edith","Cookie_Crumble",1,1,1,0,2,4,1,1,0,4,6,4,0,NA,NA,NA
"95","id_95",77,"Female",118000,"West","Millenial Muncher","Cookie_Crumble",1,4,1,2,3,4,0,3,0,5,2,3,1,1,5.52598801354641,0
"96","id_96",58,"Female",14000,"Northeast","Savvy Samantha","Cookie_Crumble",1,0,1,2,0,0,0,5,3,4,3,5,0,NA,NA,NA
"97","id_97",84,"Female",99000,"Northeast","Mainstream Maynard","Cookie_Crumble",1,6,6,3,1,2,0,2,2,2,4,5,0,NA,NA,NA
"98","id_98",53,"Female",87000,"West","Easygoing Edith","Cookie_Crumble",1,4,4,1,4,0,4,2,3,0,0,4,1,1,5.40013427467859,0
"99","id_99",37,"Male",141000,"South","Millenial Muncher","Cookie_Crumble",1,6,0,1,2,5,0,1,0,5,2,5,0,NA,NA,NA
"100","id_100",55,"Female",126000,"Northeast","Righteous Reviewer","Cookie_Crumble",1,6,6,2,5,6,3,7,0,4,2,2,0,NA,NA,NA
"101","id_101",62,"Male",140000,"West","Old School Oliver","Cookie_Crumble",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","id_102",40,"Male",123000,"Northeast","Mainstream Maynard","Cookie_Crumble",1,3,6,5,0,2,0,7,0,5,0,3,0,NA,NA,NA
"103","id_103",78,"Female",54000,"West","Millenial Muncher","Cookie_Crumble",1,3,0,0,2,5,4,3,0,7,1,3,1,1,5.54692465304526,1
"104","id_104",65,"Female",138000,"Northeast","Mainstream Maynard","Cookie_Crumble",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","id_105",74,"Male",102000,"West","Mainstream Maynard","Cookie_Crumble",1,2,4,0,1,6,3,6,1,2,9,4,0,NA,NA,NA
"106","id_106",88,"Male",103000,"Northeast","Righteous Reviewer","Cookie_Crumble",1,6,3,2,5,0,1,0,0,0,2,3,1,1,5.80016412362595,0
"107","id_107",32,"Female",55000,"Midwest","Savvy Samantha","Cookie_Crumble",1,2,5,0,1,0,2,4,0,6,3,0,0,NA,NA,NA
"108","id_108",21,"Male",133000,"West","Millenial Muncher","Cookie_Crumble",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","id_109",31,"Male",136000,"West","Mainstream Maynard","Cookie_Crumble",1,6,3,3,0,1,0,7,0,6,3,3,1,1,3.28697773728565,0
"110","id_110",89,"Male",126000,"Northeast","Savvy Samantha","Cookie_Crumble",1,5,0,2,2,1,5,3,3,7,3,3,1,1,6.46240879477124,0
"111","id_111",55,"Male",83000,"Midwest","Easygoing Edith","Cookie_Crumble",1,3,2,2,0,0,1,3,0,2,0,2,0,NA,NA,NA
"112","id_112",19,"Male",45000,"Northeast","Easygoing Edith","Cookie_Crumble",1,5,0,4,1,2,0,3,0,3,3,2,1,1,4.14090869050593,0
"113","id_113",86,"Female",146000,"Northeast","Millenial Muncher","Cookie_Crumble",1,5,4,0,0,1,1,4,0,2,0,2,1,1,6.68029404070267,0
"114","id_114",29,"Male",75000,"Northeast","Mainstream Maynard","Cookie_Crumble",1,4,5,0,0,4,0,3,1,0,0,4,1,1,5.03360280401972,0
"115","id_115",38,"Male",58000,"Midwest","Easygoing Edith","Cookie_Crumble",1,5,5,1,2,4,3,3,3,1,0,5,0,NA,NA,NA
"116","id_116",47,"Male",82000,"Midwest","Old School Oliver","Cookie_Crumble",1,10,5,3,2,5,1,4,5,7,4,2,0,NA,NA,NA
"117","id_117",74,"Female",21000,"Northeast","Millenial Muncher","Cookie_Crumble",1,3,4,2,3,2,1,3,0,2,5,2,0,NA,NA,NA
"118","id_118",74,"Female",118000,"Midwest","Old School Oliver","Cookie_Crumble",1,3,3,2,2,1,4,1,0,2,0,2,0,NA,NA,NA
"119","id_119",59,"Male",54000,"West","Savvy Samantha","Cookie_Crumble",1,3,3,0,1,0,2,0,0,7,5,2,1,1,5.46776350627735,0
"120","id_120",35,"Female",39000,"Northeast","Savvy Samantha","Cookie_Crumble",1,2,3,4,4,1,1,4,0,8,3,6,1,1,5.56842829509176,0
"121","id_121",87,"Female",17000,"Midwest","Mainstream Maynard","Cookie_Crumble",1,0,4,3,1,2,3,4,0,3,3,2,0,NA,NA,NA
"122","id_122",77,"Female",141000,"Northeast","Mainstream Maynard","Cookie_Crumble",1,9,0,2,2,1,1,2,0,3,1,4,1,1,6.08272710701542,0
"123","id_123",88,"Female",131000,"Northeast","Mainstream Maynard","Cookie_Crumble",1,5,4,2,4,1,0,0,0,3,1,4,1,1,6.42832440888831,1
"124","id_124",75,"Male",53000,"West","Millenial Muncher","Cookie_Crumble",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","id_125",89,"Male",35000,"South","Savvy Samantha","Cookie_Crumble",1,5,3,0,2,4,2,3,5,6,1,7,1,0,NA,NA
"126","id_126",68,"Male",17000,"Northeast","Millenial Muncher","Cookie_Crumble",1,2,3,3,2,2,4,2,0,1,1,7,1,1,6.59082576132964,0
"127","id_127",35,"Male",98000,"Midwest","Old School Oliver","Cookie_Crumble",1,5,5,0,0,7,2,4,1,0,3,2,1,0,NA,NA
"128","id_128",47,"Female",120000,"West","Mainstream Maynard","Cookie_Crumble",1,2,3,3,3,3,1,2,1,5,6,3,1,1,4.60457815390405,0
"129","id_129",53,"Male",70000,"Midwest","Mainstream Maynard","Cookie_Crumble",1,0,4,0,2,3,0,5,0,5,2,6,0,NA,NA,NA
"130","id_130",21,"Female",81000,"Northeast","Easygoing Edith","Cookie_Crumble",1,6,6,3,2,1,2,3,3,5,7,4,0,NA,NA,NA
"131","id_131",71,"Female",35000,"West","Savvy Samantha","Cookie_Crumble",1,5,4,1,1,3,3,3,1,3,1,2,1,1,6.06399482674622,0
"132","id_132",84,"Female",133000,"South","Easygoing Edith","Cookie_Crumble",1,4,5,1,6,2,1,4,1,1,3,2,0,NA,NA,NA
"133","id_133",88,"Male",40000,"South","Old School Oliver","Cookie_Crumble",1,4,3,1,6,6,0,3,0,2,4,5,1,1,4.6415290444437,0
"134","id_134",86,"Female",16000,"Northeast","Savvy Samantha","Cookie_Crumble",1,1,2,1,0,3,0,7,0,8,2,1,0,NA,NA,NA
"135","id_135",54,"Female",118000,"Midwest","Millenial Muncher","Cookie_Crumble",1,4,5,2,2,2,0,1,0,3,0,3,0,NA,NA,NA
"136","id_136",79,"Female",74000,"West","Mainstream Maynard","Cookie_Crumble",1,3,3,1,0,1,1,3,4,4,2,1,1,1,6.48484305884266,1
"137","id_137",56,"Male",16000,"Northeast","Easygoing Edith","Cookie_Crumble",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","id_138",73,"Male",55000,"Northeast","Easygoing Edith","Cookie_Crumble",1,1,6,0,2,1,0,2,4,4,0,1,0,NA,NA,NA
"139","id_139",39,"Male",48000,"Midwest","Millenial Muncher","Cookie_Crumble",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","id_140",89,"Male",78000,"Northeast","Millenial Muncher","Cookie_Crumble",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","id_141",83,"Female",99000,"Northeast","Righteous Reviewer","Cookie_Crumble",1,4,2,2,0,0,1,2,0,0,3,6,0,NA,NA,NA
"142","id_142",26,"Female",23000,"Midwest","Easygoing Edith","Cookie_Crumble",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","id_143",66,"Male",139000,"South","Savvy Samantha","Cookie_Crumble",1,5,1,1,1,4,3,1,1,4,2,4,1,1,5.36170579150192,0
"144","id_144",31,"Female",36000,"West","Savvy Samantha","Cookie_Crumble",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","id_145",25,"Male",123000,"South","Righteous Reviewer","Cookie_Crumble",1,3,5,0,3,2,2,2,1,3,2,3,1,0,NA,NA
"146","id_146",40,"Male",31000,"West","Easygoing Edith","Cookie_Crumble",1,3,3,0,0,2,3,3,0,4,4,4,0,NA,NA,NA
"147","id_147",57,"Male",88000,"Midwest","Righteous Reviewer","Cookie_Crumble",1,7,6,0,0,3,2,0,4,3,4,0,0,NA,NA,NA
"148","id_148",22,"Male",30000,"South","Easygoing Edith","Cookie_Crumble",1,6,5,0,3,3,0,4,2,1,3,4,0,NA,NA,NA
"149","id_149",23,"Female",36000,"Midwest","Righteous Reviewer","Cookie_Crumble",1,5,6,2,1,1,1,5,0,7,6,5,0,NA,NA,NA
"150","id_150",31,"Female",40000,"West","Savvy Samantha","Cookie_Crumble",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","id_151",37,"Male",106000,"West","Millenial Muncher","Cookie_Crumble",1,2,4,3,0,5,0,5,0,0,3,9,1,0,NA,NA
"152","id_152",21,"Male",135000,"Northeast","Savvy Samantha","Cookie_Crumble",1,6,1,4,1,0,1,3,1,2,1,4,1,1,4.57823546989856,0
"153","id_153",84,"Female",48000,"West","Savvy Samantha","Cookie_Crumble",1,1,3,1,0,0,0,6,0,5,4,7,1,0,NA,NA
"154","id_154",50,"Male",149000,"West","Savvy Samantha","Cookie_Crumble",1,0,5,4,0,2,3,1,4,7,0,3,0,NA,NA,NA
"155","id_155",59,"Female",32000,"West","Mainstream Maynard","Cookie_Crumble",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","id_156",44,"Male",70000,"Northeast","Easygoing Edith","Cookie_Crumble",1,7,5,1,0,1,0,6,0,0,3,3,1,1,4.97899391914571,0
"157","id_157",62,"Male",101000,"South","Mainstream Maynard","Cookie_Crumble",1,6,3,3,1,4,2,5,2,5,2,2,0,NA,NA,NA
"158","id_158",56,"Male",109000,"West","Millenial Muncher","Cookie_Crumble",1,4,4,3,0,4,1,3,0,1,3,1,1,1,4.82210942004244,0
"159","id_159",27,"Female",64000,"Midwest","Millenial Muncher","Cookie_Crumble",1,2,5,7,0,2,1,5,1,7,4,3,0,NA,NA,NA
"160","id_160",60,"Female",40000,"South","Mainstream Maynard","Cookie_Crumble",1,4,1,1,1,2,0,5,1,6,0,2,1,1,5.36578657681021,0
"161","id_161",57,"Male",123000,"West","Savvy Samantha","Cookie_Crumble",1,2,5,0,4,2,2,7,0,4,3,0,1,1,4.93037543970286,0
"162","id_162",26,"Male",37000,"Northeast","Easygoing Edith","Cookie_Crumble",1,5,5,2,2,3,3,0,1,4,2,2,1,1,4.45122339993464,0
"163","id_163",39,"Male",60000,"Northeast","Savvy Samantha","Cookie_Crumble",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","id_164",73,"Male",50000,"Midwest","Righteous Reviewer","Cookie_Crumble",1,5,5,2,1,8,2,3,0,3,0,3,1,1,5.1744492979905,1
"165","id_165",43,"Male",91000,"West","Savvy Samantha","Cookie_Crumble",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","id_166",36,"Male",27000,"South","Righteous Reviewer","Cookie_Crumble",1,1,3,0,0,2,2,5,2,3,1,4,0,NA,NA,NA
"167","id_167",31,"Female",14000,"West","Mainstream Maynard","Cookie_Crumble",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","id_168",74,"Female",52000,"West","Millenial Muncher","Cookie_Crumble",1,5,6,0,0,2,0,5,2,5,2,3,1,0,NA,NA
"169","id_169",30,"Female",117000,"South","Old School Oliver","Cookie_Crumble",1,3,3,0,3,2,0,4,2,3,1,0,0,NA,NA,NA
"170","id_170",74,"Female",52000,"South","Mainstream Maynard","Cookie_Crumble",1,4,6,4,0,2,0,2,0,4,5,1,0,NA,NA,NA
"171","id_171",54,"Male",34000,"West","Mainstream Maynard","Cookie_Crumble",1,3,6,1,1,4,2,6,0,2,1,5,0,NA,NA,NA
"172","id_172",79,"Female",91000,"South","Mainstream Maynard","Cookie_Crumble",1,5,2,4,0,5,4,1,0,5,0,3,1,0,NA,NA
"173","id_173",76,"Female",57000,"West","Easygoing Edith","Cookie_Crumble",1,3,2,0,0,4,0,5,2,3,6,1,1,1,6.03123957926599,0
